"year","league","division","team","wins","games","runs","runs_allowed","attendance"
2018,"AL","Central","DET",64,162,630,796,1856970
2018,"AL","West","HOU",103,162,797,534,2980549
2018,"AL","Central","KCA",58,162,638,833,1665107
2018,"AL","West","LAA",80,162,721,722,3020216
2018,"NL","West","LAN",92,163,804,610,3857500
2018,"NL","East","MIA",63,161,589,809,811104
2018,"NL","Central","MIL",96,163,754,659,2850875
2018,"AL",NA,"MIN",78,162,738,775,1959197
2018,"AL","East","NYA",100,162,851,669,3482855
2018,"NL","East","NYN",77,162,676,707,2224995
2018,"AL","West","OAK",97,162,813,674,1573616
2018,"NL","East","PHI",80,162,677,728,2158124
2018,"NL","Central","PIT",82,161,692,693,1465316
2018,"NL","West","SDN",66,162,617,767,2168536
2018,"AL","West","SEA",89,162,677,711,2299489
2018,"NL","West","SFN",73,162,603,699,3156185
2018,"NL","Central","SLN",88,162,759,691,3403587
2018,"AL","East","TBA",90,162,716,646,1154973
2018,"AL","West","TEX",67,162,737,848,2107107
2018,"AL","East","TOR",73,162,709,832,2325281
2018,"NL","East","WAS",82,162,771,682,2529604
2019,"NL","West","ARI",85,162,813,743,2135510
2019,"NL","East","ATL",97,162,855,743,2655100
2019,"AL","East","BAL",54,162,729,981,1307807
2019,"AL","East","BOS",84,162,NA,828,2924627
2019,"AL","Central","CHA",72,161,708,832,1649775
2019,"NL","Central","CHN",84,162,814,717,3094865
2019,"NL","Central","CIN",75,162,701,711,1808685
2019,"AL","Central","CLE",93,162,769,657,1738642
2019,"NL","West","COL",71,162,835,958,2993244
2019,"AL","Central","DET",47,0,582,915,1501430
2019,"AL","West","HOU",107,162,920,640,2857367
2019,"AL","Central","KCA",59,162,691,869,1479659
2019,"AL","West","LAA",72,162,769,868,3019012
2019,"NL","West","LAN",106,162,886,613,3974309
2019,"NL","East","MIA",57,162,615,808,811302
2019,"NL","Central","MIL",89,162,769,766,2923333
2019,"AL","Central","MIN",101,162,939,754,2294152
2019,"AL","East","NYA",103,162,943,739,3304404
2019,"NL","East","NYN",86,162,791,737,2442532
2019,"AL","West","OAK",97,162,845,680,1662211
2019,"NL","East","PHI",81,162,774,794,2727421
2019,"NL","Central","PIT",69,162,758,911,1491439
2019,"NL","West","SDN",70,162,682,789,2396399
2019,"AL","West","SEA",68,162,758,893,1791863
2019,"NL",NA,"SFN",77,162,678,773,2707760
2019,"NL","Central","SLN",91,162,764,662,3480393
2019,"AL","East","TBA",96,162,769,656,1178735
2019,"AL","West","TEX",78,162,810,878,2132994
2019,"AL","East","TOR",67,162,726,828,1750114
2019,"NL","East","WAS",93,162,873,724,2259781
