"year","league","division","team","wins","games","runs","runs_allowed","attendance"
2004,"AL","Central","CHA",83,162,865,831,1930537
2004,"NL","Central","CHN",89,162,789,665,3170154
2004,"NL","Central","CIN",76,162,750,907,2287250
2004,"AL","Central","CLE",80,162,858,857,1814401
2004,"NL","West","COL",68,162,833,923,2338069
2004,"AL","Central","DET",72,162,827,844,1917004
2004,"NL","East","FLO",83,162,718,700,1723105
2004,"NL","Central","HOU",92,162,803,698,3087872
2004,"AL","Central","KCA",58,162,720,905,1661478
2004,"NL","West","LAN",93,162,761,684,3488283
2004,"NL","Central","MIL",67,161,634,757,2062382
2004,"AL","Central","MIN",92,162,780,715,1911490
2004,"NL","East","MON",67,162,635,769,749550
2004,"AL","East","NYA",101,162,897,808,3775292
2004,"NL","East","NYN",71,162,684,731,2318951
2004,"AL","West","OAK",91,162,793,742,2201516
2004,"NL","East","PHI",86,162,840,781,3250092
2004,"NL","Central","PIT",72,161,680,744,1580031
2004,"NL","West","SDN",87,162,768,705,3016752
2004,"AL","West","SEA",63,162,698,823,2940731
2004,"NL","West","SFN",91,162,850,770,3256854
2004,NA,"Central","SLN",105,162,855,659,3048427
2004,"AL","East","TBA",70,161,714,842,1274911
2004,"AL","West","TEX",89,162,860,794,2513685
2004,"AL","East","TOR",67,161,719,823,1900041
2005,"NL","West","ARI",77,162,696,856,2059424
2005,"NL","East","ATL",90,162,769,674,2521167
2005,"AL","East","BAL",74,162,729,800,2624740
2005,"AL","East","BOS",95,162,910,805,2847888
2005,"AL","Central","CHA",99,162,741,645,2342833
2005,"NL","Central","CHN",79,162,703,714,3099992
2005,"NL","Central","CIN",73,163,820,889,1943067
2005,"AL","Central","CLE",93,162,790,642,2013763
2005,"NL","West","COL",67,162,740,862,1914389
2005,"AL","Central","DET",71,162,723,787,2024431
2005,"NL","East","FLO",83,162,717,732,1852608
2005,"NL","Central","HOU",89,163,693,609,2804760
2005,"AL","Central","KCA",56,162,701,935,1371181
2005,"AL","West","LAA",95,162,761,643,3404686
2005,"NL","West","LAN",71,162,685,755,3603646
2005,"NL","Central","MIL",81,162,726,697,2211023
2005,"AL","Central","MIN",83,162,688,662,2034243
2005,"AL","East","NYA",95,162,886,789,4090696
2005,"NL","East","NYN",83,162,722,648,2829929
2005,"AL","West","OAK",88,162,772,658,2109118
2005,"NL","East","PHI",88,162,807,726,2665304
2005,"NL","Central","PIT",67,162,680,769,1817245
2005,"NL","West","SDN",82,162,684,726,2869787
2005,"AL","West","SEA",69,162,699,751,2725459
2005,"NL","West","SFN",75,162,649,745,3181023
2005,"NL","Central","SLN",100,162,805,634,3538988
2005,"AL","East","TBA",67,162,750,936,1141669
2005,"AL","West","TEX",79,162,865,858,2525221
2005,"AL","East","TOR",80,162,775,705,2014995
2005,"NL","East","WAS",81,162,639,673,2731993
2006,"NL","West","ARI",76,162,773,788,2091685
2006,"NL","East","ATL",79,162,849,805,2550524
2006,"AL","East","BAL",70,162,768,899,2153139
2006,"AL","East","BOS",86,162,820,825,2930588
2006,"AL","Central","CHA",90,162,868,794,2957414
2006,"NL","Central","CHN",66,162,716,834,3123215
2006,"NL","Central","CIN",80,162,749,801,2134607
2006,"AL","Central","CLE",78,162,870,782,1997995
2006,"NL","West","COL",76,162,813,812,2104362
2006,"AL","Central","DET",95,162,822,675,2595937
2006,"NL","East","FLO",78,162,758,772,1164134
2006,"NL","Central","HOU",82,162,735,719,3022763
2006,"AL","Central","KCA",62,162,757,971,1372638
2006,"AL","West","LAA",89,162,766,732,3406790
2006,"NL","West","LAN",88,162,820,751,3758545
2006,"NL","Central","MIL",75,162,730,833,2335643
2006,"AL","Central","MIN",96,162,801,683,2285018
2006,"AL","East","NYA",97,162,930,767,4248067
2006,"NL","East","NYN",97,162,834,731,3379535
2006,"AL","West","OAK",93,162,771,727,1976625
2006,"NL","East","PHI",85,162,865,812,2701815
2006,"NL","Central","PIT",67,162,691,797,1861549
2006,"NL","West","SDN",88,162,731,679,2659757
2006,"AL","West","SEA",78,162,756,792,2481165
2006,"NL","West","SFN",76,161,746,790,3130313
2006,"NL","Central","SLN",83,161,781,762,3407104
2006,"AL","East","TBA",61,162,689,856,1368950
2006,"AL","West","TEX",80,162,835,784,2388757
2006,"AL","East","TOR",87,162,809,754,2302212
2006,"NL","East","WAS",71,162,746,872,2153056
2007,"NL","West","ARI",90,162,712,732,2325249
2007,"NL","East","ATL",84,162,810,733,2745207
2007,"AL","East","BAL",69,162,756,868,2164822
2007,"AL","East","BOS",96,162,867,657,2970755
2007,"AL","Central","CHA",72,162,693,839,2684395
2007,"NL","Central","CHN",85,162,752,690,3252462
2007,"NL","Central","CIN",72,162,783,853,2058593
2007,"AL","Central","CLE",96,162,811,704,2275912
2007,"NL","West","COL",90,163,860,758,2376250
2007,"AL","Central","DET",88,162,887,797,3047133
2007,"NL","East","FLO",71,162,790,891,1370511
2007,"NL","Central","HOU",73,162,723,813,3020405
2007,"AL","Central","KCA",69,162,706,778,1616867
2007,"AL","West","LAA",94,162,822,731,3365632
2007,"NL","West","LAN",82,162,735,727,3857036
2007,"NL","Central","MIL",83,162,801,776,2869144
2007,"AL","Central","MIN",79,162,718,725,2296383
2007,"AL","East","NYA",94,162,968,777,4271083
2007,"NL","East","NYN",88,162,804,750,3853955
2007,"AL","West","OAK",76,162,741,758,1921844
2007,"NL","East","PHI",89,162,892,821,3108325
2007,"NL","Central","PIT",68,162,724,846,1749142
2007,"NL","West","SDN",89,163,741,666,2790074
2007,"AL","West","SEA",88,162,794,813,2672223
2007,"NL","West","SFN",71,162,683,720,3223215
2007,"NL","Central","SLN",78,162,725,829,3552180
2007,"AL","East","TBA",66,162,782,944,1387603
2007,"AL","West","TEX",75,162,816,844,2353862
2007,"AL","East","TOR",83,162,753,699,2360644
2007,"NL","East","WAS",73,162,673,783,1943812
2008,"NL","West","ARI",82,162,720,706,2509924
2008,"NL","East","ATL",72,162,753,778,2532834
2008,"AL","East","BAL",68,161,782,869,1950075
2008,"AL","East","BOS",95,162,845,694,3048250
2008,"AL","Central","CHA",89,163,811,729,2500648
2008,"NL","Central","CHN",97,161,855,671,3300200
2008,"NL","Central","CIN",74,162,704,800,2058632
2008,"AL","Central","CLE",81,162,805,761,2169760
2008,"NL","West","COL",74,162,747,822,2650218
2008,"AL","Central","DET",74,162,821,857,3202645
2008,"NL","East","FLO",84,161,770,767,1335076
2008,"NL","Central","HOU",86,161,712,743,2779487
2008,"AL","Central","KCA",75,162,691,781,1578922
2008,"AL","West","LAA",100,162,765,697,3336747
2008,"NL","West","LAN",84,162,700,648,3730553
2008,"NL","Central","MIL",90,162,750,689,3068458
2008,"AL","Central","MIN",88,163,829,745,2302431
2008,"AL","East","NYA",89,162,789,727,4298655
2008,"NL","East","NYN",89,162,799,715,4042045
2008,"AL","West","OAK",75,161,646,690,1665256
2008,"NL","East","PHI",92,162,799,680,3422583
2008,"NL","Central","PIT",67,162,735,884,1609076
2008,"NL","West","SDN",63,162,637,764,2427535
2008,"AL","West","SEA",61,162,671,811,2329702
2008,"NL","West","SFN",72,162,640,759,2863837
2008,"NL","Central","SLN",86,162,779,725,3432917
2008,"AL","East","TBA",97,162,774,671,1811986
2008,"AL","West","TEX",79,162,901,967,1945677
2008,"AL","East","TOR",86,162,714,610,2399786
2008,"NL","East","WAS",59,161,641,825,2320400
2009,"NL","West","ARI",70,162,720,782,2128765
2009,"NL","East","ATL",86,162,735,641,2373631
2009,"AL","East","BAL",64,162,741,876,1907163
2009,"AL","East","BOS",95,162,872,736,3062699
2009,"AL","Central","CHA",79,162,724,732,2284163
2009,"NL","Central","CHN",83,161,707,672,3168859
2009,"NL","Central","CIN",78,162,673,723,1747919
2009,"AL","Central","CLE",65,162,773,865,1766242
2009,"NL","West","COL",92,162,804,715,2665080
2009,"AL","Central","DET",86,163,743,745,2567165
2009,"NL","East","FLO",87,162,772,766,1464109
2009,"NL","Central","HOU",74,162,643,770,2521076
2009,"AL","Central","KCA",65,162,686,842,1797891
2009,"AL","West","LAA",97,162,883,761,3240386
2009,"NL","West","LAN",95,162,780,611,3761655
2009,"NL","Central","MIL",80,162,785,818,3037451
2009,"AL","Central","MIN",87,163,817,765,2416237
2009,"AL","East","NYA",103,162,915,753,3719358
2009,"NL","East","NYN",70,162,671,757,3168571
2009,"AL","West","OAK",75,162,759,761,1408783
